observed_at,available_count,preparing_count,total_rooms,available_rooms
2026-09-09T07:16:41+09:00,2,0,50,417|611
2026-09-09T08:15:56+09:00,3,0,50,415|417|611
2026-09-09T09:28:53+09:00,7,3,50,201|302|318|517|611|612|615
2026-09-09T10:17:24+09:00,8,3,50,201|205|302|305|312|313|317|612
2026-09-09T10:44:55+09:00,6,3,50,205|302|305|317|403|612
2026-09-09T11:18:45+09:00,5,1,50,205|212|302|403|502
2026-09-09T11:45:21+09:00,4,2,50,203|212|403|502
2026-09-09T12:19:03+09:00,0,4,50,
2026-09-09T12:45:36+09:00,2,3,50,211|512
2026-09-09T13:19:18+09:00,0,3,50,
2026-09-09T13:45:31+09:00,0,5,50,
2026-09-09T14:17:42+09:00,3,3,50,101|212|502
2026-09-09T14:44:44+09:00,4,2,50,212|403|418|502
2026-09-09T15:24:22+09:00,5,2,50,211|303|313|401|503
2026-09-09T15:49:33+09:00,7,3,50,205|303|315|401|417|503|615
2026-09-09T16:20:17+09:00,7,4,50,201|213|302|315|503|512|611
2026-09-09T16:46:06+09:00,8,1,50,205|213|302|315|401|503|516|611
2026-09-09T17:19:58+09:00,9,3,50,205|213|302|317|401|505|511|516|611
2026-09-09T17:45:56+09:00,7,4,50,205|213|302|317|418|516|615
2026-09-09T18:19:31+09:00,9,1,50,205|215|302|311|405|503|512|613|615
2026-09-09T18:34:31+09:00,7,0,50,205|302|405|503|512|613|615
2026-09-09T18:47:51+09:00,7,1,50,205|302|312|318|405|613|615
2026-09-09T18:57:09+09:00,7,0,50,205|302|312|405|413|613|615
2026-09-09T19:19:28+09:00,5,1,50,205|302|413|612|613
2026-09-09T19:34:20+09:00,6,2,50,205|212|302|412|517|612
2026-09-09T19:47:11+09:00,4,2,50,302|417|502|515
2026-09-09T19:56:46+09:00,3,2,50,302|417|502
2026-09-09T20:18:13+09:00,1,1,50,502
2026-09-09T20:32:07+09:00,3,1,50,201|402|501
2026-09-09T20:44:50+09:00,4,1,50,201|303|311|402
2026-09-09T20:56:31+09:00,4,3,50,201|303|316|402
2026-09-09T21:24:35+09:00,3,3,50,201|213|516
2026-09-09T21:50:23+09:00,3,3,50,202|505|517
2026-09-09T22:01:05+09:00,4,3,50,202|418|505|517
2026-09-09T22:20:37+09:00,3,4,50,202|413|503
2026-09-09T22:35:34+09:00,6,3,50,202|405|411|413|503|615
2026-09-09T22:49:27+09:00,6,5,50,205|405|413|416|503|615
2026-09-09T22:58:42+09:00,9,5,50,205|211|405|413|416|501|503|511|615
2026-09-09T23:19:17+09:00,8,4,50,205|212|303|318|403|416|501|513
2026-09-09T23:34:32+09:00,9,1,50,205|212|303|305|313|318|416|501|513
2026-09-09T23:48:55+09:00,7,1,50,205|212|305|317|416|501|513
2026-09-09T23:58:28+09:00,8,0,50,205|212|302|305|317|416|501|513
2026-09-10T00:18:50+09:00,6,0,50,205|212|305|416|502|513
2026-09-10T00:33:49+09:00,6,0,50,205|212|305|416|503|513
2026-09-10T00:47:35+09:00,6,0,50,205|212|302|416|503|513
2026-09-10T00:55:52+09:00,6,0,50,205|212|302|416|503|513
2026-09-10T01:20:01+09:00,6,0,50,205|212|303|413|503|516
2026-09-10T01:34:44+09:00,4,0,50,205|412|503|516
2026-09-10T01:47:41+09:00,5,0,50,205|402|412|503|516
2026-09-10T01:56:29+09:00,4,0,50,402|412|503|516
2026-09-10T02:16:36+09:00,4,0,50,402|415|503|516
2026-09-10T03:21:23+09:00,2,0,50,213|502
2026-09-10T04:15:47+09:00,3,0,50,205|402|505
2026-09-10T05:18:03+09:00,3,0,50,205|218|503
2026-09-10T06:15:26+09:00,5,0,50,218|401|415|512|517
2026-09-10T07:16:11+09:00,6,0,50,213|218|401|415|512|517
2026-09-10T08:15:18+09:00,9,0,50,205|213|302|315|318|403|503|513|612
2026-09-10T09:23:43+09:00,6,4,50,205|302|402|403|503|517
2026-09-10T10:17:28+09:00,4,1,50,205|215|302|503
2026-09-10T10:45:08+09:00,3,0,50,303|403|501
2026-09-10T11:18:45+09:00,1,2,50,201
2026-09-10T11:45:41+09:00,3,1,50,211|305|311
2026-09-10T12:19:10+09:00,2,4,50,102|202
2026-09-10T12:45:41+09:00,1,5,50,413
2026-09-10T13:18:58+09:00,4,4,50,205|316|517|611
2026-09-10T13:45:44+09:00,4,3,50,201|402|503|516
2026-09-10T14:17:25+09:00,1,2,50,302
2026-09-10T14:44:42+09:00,2,4,50,305|518
2026-09-10T15:24:33+09:00,5,3,50,202|305|312|412|501
2026-09-10T15:49:48+09:00,4,1,50,202|313|403|501
2026-09-10T16:20:09+09:00,4,4,50,202|213|403|512
2026-09-10T16:46:08+09:00,6,1,50,213|301|403|413|516|612
2026-09-10T17:20:52+09:00,6,3,50,211|301|403|413|505|516
2026-09-10T17:46:43+09:00,4,4,50,212|403|505|516
2026-09-10T18:19:27+09:00,4,2,50,201|211|317|503
2026-09-10T18:34:16+09:00,4,2,50,202|212|318|402
2026-09-10T18:47:29+09:00,4,1,50,312|402|501|518
2026-09-10T18:57:22+09:00,4,1,50,312|403|501|518
2026-09-10T19:19:34+09:00,5,2,50,302|317|405|418|611
2026-09-10T19:33:54+09:00,4,1,50,302|418|517|611
2026-09-10T19:46:38+09:00,5,1,50,215|305|502|517|611
2026-09-10T19:56:27+09:00,6,2,50,215|305|313|502|517|611
2026-09-10T20:18:06+09:00,7,3,50,215|301|305|413|502|516|611
2026-09-10T20:31:39+09:00,4,1,50,201|305|611|615
2026-09-10T20:44:35+09:00,5,2,50,201|316|412|417|611
2026-09-10T20:55:53+09:00,3,3,50,213|316|412
2026-09-10T21:24:38+09:00,3,3,50,205|418|505
2026-09-10T21:50:18+09:00,3,1,50,403|505|613
2026-09-10T22:00:01+09:00,4,2,50,311|403|505|613
2026-09-10T22:19:01+09:00,3,2,50,211|302|411
2026-09-10T22:31:39+09:00,4,3,50,211|302|411|513
2026-09-10T22:45:43+09:00,6,4,50,201|211|302|411|417|518
2026-09-10T22:57:01+09:00,10,2,50,201|202|211|302|317|415|417|501|516|518
2026-09-10T23:18:00+09:00,3,2,50,202|312|501
2026-09-10T23:32:16+09:00,3,2,50,312|413|612
2026-09-10T23:47:10+09:00,5,2,50,201|303|312|502|612
2026-09-10T23:58:22+09:00,5,0,50,201|215|303|517|612
2026-09-11T00:18:46+09:00,4,0,50,201|215|303|612
2026-09-11T00:32:34+09:00,3,0,50,201|215|302
2026-09-11T00:45:20+09:00,3,0,50,201|211|302
2026-09-11T00:55:12+09:00,3,0,50,201|211|302
2026-09-11T01:17:57+09:00,3,0,50,205|211|312
2026-09-11T01:30:43+09:00,4,0,50,205|211|312|417
2026-09-11T01:44:50+09:00,4,0,50,205|211|312|417
2026-09-11T01:56:03+09:00,4,0,50,205|211|312|417
2026-09-11T02:16:27+09:00,3,0,50,205|312|417
2026-09-11T03:19:40+09:00,3,0,50,205|218|312
2026-09-11T04:14:12+09:00,3,0,50,203|405|518
2026-09-11T05:16:17+09:00,2,0,50,203|405
2026-09-11T06:15:16+09:00,3,0,50,201|318|405
2026-09-11T07:15:59+09:00,2,0,50,201|318
2026-09-11T08:14:21+09:00,4,0,50,201|405|501|503
2026-09-11T09:25:23+09:00,4,4,50,205|315|402|501
